ལྕགས,3209,0.012663%
ཨུ,3206,0.012651%
དྷི,3204,0.012643%
འཁྲུགས,3199,0.012623%
བཤེས,3192,0.012596%
ཐུག,3182,0.012556%
འགའ,3181,0.012552%
སྐྱབས,3171,0.012513%
སྐར,3162,0.012477%
སར,3162,0.012477%
གཞལ,3150,0.012430%
མཆི,3149,0.012426%
ཀི,3143,0.012403%
བཟེད,3142,0.012399%
རམ,3129,0.012347%
ཅུང,3129,0.012347%
ལང,3125,0.012331%
ངུ,3119,0.012308%
ཀར,3114,0.012288%
འཇོམས,3102,0.012241%
པུ,3097,0.012221%
འདབ,3093,0.012205%
ཚོམ,3086,0.012178%
གོང,3066,0.012099%
གདགས,3054,0.012051%
བཅྭ,3036,0.011980%
ཚུར,3034,0.011972%
རྨི,3013,0.011890%
སྤོབས,2989,0.011795%
ཤཱཀྱ,2987,0.011787%
ནན,2986,0.011783%
གུས,2979,0.011755%
འང,2970,0.011720%
ཐིག,2970,0.011720%
ནུར,2949,0.011637%
སྤྱི,2943,0.011613%
མིའི,2934,0.011578%
འབྲུ,2918,0.011515%
ལྷགས,2912,0.011491%
ཡུམ,2910,0.011483%
ལུ,2908,0.011475%
བལྟས,2907,0.011471%
བསྒྲུབས,2905,0.011463%
ཉ,2901,0.011448%
མཿ,2897,0.011432%
མཐུན,2890,0.011404%
ཁྲོད,2881,0.011369%
དཔས,2875,0.011345%
འདོན,2870,0.011325%
བསྒོ,2868,0.011317%
ཤོག,2865,0.011306%
རྨོངས,2857,0.011274%
མུན,2846,0.011231%
མྱིང,2838,0.011199%
ཚུན,2833,0.011179%
མཚར,2830,0.011167%
བཱ,2828,0.011160%
རྒ,2824,0.011144%
ཧུྃ,2797,0.011037%
བུམ,2790,0.011010%
སྟི,2784,0.010986%
སྤྲོ,2776,0.010954%
མའོ,2770,0.010931%
ཟིལ,2766,0.010915%
བྲག,2764,0.010907%
རུས,2759,0.010887%
དབུགས,2752,0.010860%
ལོགས,2736,0.010796%
དུད,2729,0.010769%
གཞུག,2724,0.010749%
དཔུང,2722,0.010741%
སེལ,2717,0.010721%
ཀའི,2715,0.010714%
སྟེགས,2712,0.010702%
ཡུན,2700,0.010654%
ལྷོ,2691,0.010619%
ཟེའི,2691,0.010619%
བྲང,2690,0.010615%
བྱའི,2672,0.010544%
བྲིས,2671,0.010540%
བཞིའི,2670,0.010536%
ཉལ,2663,0.010508%
བརྙན,2662,0.010504%
བེ,2650,0.010457%
བཟངས,2648,0.010449%
འགྲིབ,2644,0.010433%
བློན,2642,0.010426%
མལ,2627,0.010366%
བསྟེན,2626,0.010362%
དཀོན,2625,0.010358%
དཔེ,2618,0.010331%
སྨད,2614,0.010315%
ཞུ,2613,0.010311%
བསྔོ,2597,0.010248%
སྐྲག,2596,0.010244%
འཇོག,2590,0.010220%
ཨེ,2577,0.010169%
ལོང,2571,0.010145%
སྐྲ,2567,0.010130%
ཡབ,2552,0.010070%
ཡིག,2552,0.010070%
སོའི,2550,0.010062%
འཁྲུག,2532,0.009991%
སྐལ,2527,0.009972%
གྲི,2506,0.009889%
ཆེད,2502,0.009873%
རྩོད,2494,0.009842%
གཱའི,2484,0.009802%
ཙན,2476,0.009770%
ཀེའུ,2462,0.009715%
གདན,2460,0.009707%
གའི,2422,0.009557%
གཤིན,2421,0.009553%
བལྟའོ,2415,0.009530%
བཟློག,2413,0.009522%
བཀྲ,2382,0.009400%
བསྐུལ,2378,0.009384%
དབུ,2378,0.009384%
ཥ,2376,0.009376%
བདུག,2373,0.009364%
ལོས,2365,0.009332%
སཱ,2352,0.009281%
འཆར,2346,0.009257%
ཟུང,2343,0.009246%
མཉེས,2342,0.009242%
ཀཽ,2339,0.009230%
མོར,2331,0.009198%
བླང,2313,0.009127%
ལོན,2303,0.009088%
དགོན,2295,0.009056%
བགོས,2292,0.009044%
བརྩེ,2282,0.009005%
མཽད,2276,0.008981%
ཐོ,2259,0.008914%
མནན,2246,0.008863%
སྟག,2245,0.008859%
མན,2238,0.008831%
ལའི,2237,0.008827%
གཉེར,2232,0.008808%
ཧུ,2230,0.008800%
དགྱེས,2227,0.008788%
དུང,2226,0.008784%
འཕོ,2220,0.008760%
སྤུ,2220,0.008760%
བྷྱཿ,2215,0.008741%
ཟོས,2212,0.008729%
བསགས,2208,0.008713%
ངང,2207,0.008709%
དུར,2207,0.008709%
ཕམ,2205,0.008701%
འཐབ,2197,0.008670%
བཙལ,2191,0.008646%
རྒྱའོ,2185,0.008622%
ནེ,2175,0.008583%
མེའི,2167,0.008551%
འཕོས,2155,0.008504%
རྗོད,2153,0.008496%
སྦྱངས,2139,0.008441%
ཏམ,2133,0.008417%
ཚོད,2133,0.008417%
ཚིམ,2130,0.008405%
ཀློག,2128,0.008397%
སྤྲོས,2122,0.008374%
བསྡུ,2121,0.008370%
གདུག,2120,0.008366%
